Period,CategoryId,Type,IBD/PBD,ASTI_LIM
MONT_1397,34932179,IBD,575,3.53
MONT_1397,34931941,IBD,598,2.5
MONT_1397,34931941,IBD,590,2.93
MONT_1397,34931941,IBD,588,2.93
MONT_1397,34931941,IBD,582,2.57
MONT_1397,34931941,IBD,576,2.93
MONT_1397,34931941,IBD,571,1.15
MONT_1397,34931941,IBD,564,2.08
MONT_1397,34931941,IBD,507,2.99
MONT_1397,34932187,IBD,571,3.25
MONT_1397,34932187,IBD,570,3.24
MONT_1397,34932187,IBD,556,3.03
MONT_1397,34932187,IBD,521,3.31
MONT_1397,34932187,IBD,516,3.05
MONT_1397,34932187,IBD,513,3.35
MONT_1397,34932187,IBD,512,3.03
MONT_1397,34932188,IBD,612,2.75
MONT_1397,34932188,IBD,604,2.71
MONT_1397,34932188,IBD,603,2.76
MONT_1397,34932188,IBD,591,3.18
MONT_1397,34932188,IBD,590,2.76
MONT_1397,34932188,IBD,588,2.66
MONT_1397,34932188,IBD,587,2.71
MONT_1397,34932188,IBD,582,3.04
MONT_1397,34932188,IBD,581,2.76
MONT_1397,34932188,IBD,575,2.6
MONT_1397,34932188,IBD,572,2.34
MONT_1397,34932188,IBD,571,2.66
MONT_1397,34932188,IBD,570,2.76
MONT_1397,34932188,IBD,556,2.48
MONT_1397,34932188,IBD,513,2.75
MONT_1397,34932188,IBD,512,2.79
MONT_1397,34932188,IBD,500,2.52
MONT_1397,34932190,IBD,612,5.42
MONT_1397,34932190,IBD,607,5.18
MONT_1397,34932190,IBD,604,5.61
MONT_1397,34932190,IBD,603,5.1
MONT_1397,34932190,IBD,591,5.08
MONT_1397,34932190,IBD,590,5.34
MONT_1397,34932190,IBD,588,5.08
MONT_1397,34932190,IBD,587,5.81
MONT_1397,34932190,IBD,582,4.57
MONT_1397,34932190,IBD,581,3.35
MONT_1397,34932190,IBD,575,3.52
MONT_1397,34932190,IBD,572,4.35
MONT_1397,34932190,IBD,571,4.56
MONT_1397,34932190,IBD,570,5.37
MONT_1397,34932190,IBD,556,3.41
MONT_1397,34932190,IBD,521,5.57
MONT_1397,34932190,IBD,516,6.46
MONT_1397,34932190,IBD,513,3.91
MONT_1397,34932190,IBD,512,2.86
MONT_1397,34932190,IBD,500,3.78
MONT_1397,34932191,IBD,612,6.68
MONT_1397,34932191,IBD,607,6.7
MONT_1397,34932191,IBD,604,6.19
MONT_1397,34932191,IBD,603,6.62
MONT_1397,34932191,IBD,602,6.11
MONT_1397,34932191,IBD,591,6.1
MONT_1397,34932191,IBD,590,6.61
MONT_1397,34932191,IBD,588,7.17
MONT_1397,34932191,IBD,587,8.02
MONT_1397,34932191,IBD,582,6.4
MONT_1397,34932191,IBD,581,5.33
MONT_1397,34932191,IBD,575,5.1
MONT_1397,34932191,IBD,572,5.6
MONT_1397,34932191,IBD,571,6.93
MONT_1397,34932191,IBD,570,6.23
MONT_1397,34932191,IBD,569,6.11
MONT_1397,34932191,IBD,556,6.15
MONT_1397,34932191,IBD,521,6.14
MONT_1397,34932191,IBD,516,6.49
MONT_1397,34932191,IBD,513,5.96
